stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
310_01,,掛尾,,36.66543497,137.210096722857,310_01,,0,,
310_02,,掛尾,,36.6656941797466,137.209953523243,310_02,,0,,
311_01,,西上袋,,36.66093101,137.209884325714,311_01,,0,,
311_02,,西上袋,,36.6612913814958,137.209731949169,311_02,,0,,
312_01,,西赤田,,36.65652784,137.209819884286,312_01,,0,,
312_02,,西赤田,,36.6581007281264,137.209676441226,312_02,,0,,
313_01,,黒崎,,36.65092553,137.20971445,313_01,,0,,
313_02,,黒崎,,36.6519009996983,137.209570549698,313_02,,0,,
314_01,,最勝寺,,36.6442208199999,137.209602547143,314_01,,0,,
314_02,,最勝寺,,36.6452086999368,137.209426876416,314_02,,0,,
315_01,,小中,,36.63726346,137.209342218571,315_01,,0,,
315_02,,小中,,36.6379371030617,137.209163322177,315_02,,0,,
316_01,,下熊野,,36.63342801,137.209236784286,316_01,,0,,
316_02,,下熊野,,36.6341216816059,137.209044136996,316_02,,0,,
316_03,,下熊野,,36.6328445828083,137.209700544394,316_03,,0,,
317_01,,安養寺,,36.6296546700001,137.208144745714,317_01,,0,,
317_02,,安養寺,,36.6297942938735,137.208127756031,317_02,,0,,
318_01,,栗山,,36.62283971,137.204976694286,318_01,,0,,
318_02,,栗山,,36.6239696020428,137.204789454422,318_02,,0,,
319_01,,栗山南口,,36.62057484,137.205292538571,319_01,,0,,
319_02,,栗山南口,,36.6199455043809,137.205298024532,319_02,,0,,
320_01,,法林寺口,,36.61431146,137.205053435714,320_01,,0,,
320_02,,法林寺口,,36.6147439678974,137.205076217651,320_02,,0,,
321_01,,北陸電気工業前,,36.60989039,137.20454314,321_01,,0,,
321_02,,北陸電気工業前,,36.6107701895316,137.204578377697,321_02,,0,,
322_01,,大久保小学校前,,36.6042429199999,137.203440564286,322_01,,0,,
322_02,,大久保小学校前,,36.605183396752,137.203484502029,322_02,,0,,
323_01,,上大久保六区,,36.60014369,137.203467902857,323_01,,0,,
323_02,,上大久保六区,,36.6005839107394,137.203375230865,323_02,,0,,
324_01,,上大久保,,36.59583305,137.203792078571,324_01,,0,,
324_02,,上大久保,,36.5969259174332,137.203635287748,324_02,,0,,
325_01,,上二杉,,36.5906885,137.204810864286,325_01,,0,,
325_02,,上二杉,,36.5920737798096,137.204417327434,325_02,,0,,
326_01,,田村町,,36.58496943,137.206114238572,326_01,,0,,
326_02,,田村町,,36.5847179166778,137.206070267922,326_02,,0,,
328_01,,大沢野小学校前,,36.57797882,137.207085042857,328_01,,0,,
328_02,,大沢野小学校前,,36.5785149421235,137.20680052851,328_02,,0,,
329_01,,西大沢,,36.57486793,137.208571918571,329_01,,0,,
329_02,,西大沢,,36.5744778784164,137.208708278526,329_02,,0,,
330_01,,敷島紡績前,,36.57153339,137.209783171429,330_01,,0,,
330_02,,敷島紡績前,,36.571179516167,137.209789324832,330_02,,0,,
331_01,,笹津変電所前,,36.56629468,137.211165514286,331_01,,0,,
331_02,,笹津変電所前,,36.5658402422069,137.211371012672,331_02,,0,,
331_03,,笹津変電所前,,36.5671448395352,137.20999108538,331_03,,0,,
332_01,,笹津,,36.5640282900001,137.212701867143,332_01,,0,,
332_02,,笹津,,36.5637029302923,137.212890425382,332_02,,0,,
333_01,,笹津橋詰,,36.5563288366666,137.21741295381,333_01,,0,,
333_02,,笹津橋詰,,36.5564844757719,137.216961318272,333_02,,0,,
334_01,,第二発電所前,,36.5519041600001,137.223187307143,334_01,,0,,
