出発地のノード番号,到着側のノード番号,ウェイの距離[m]
64943,36668,7.41
36668,36667,6.34
36667,64944,6.22
64944,36666,6.63
36666,64945,6.6
64945,36665,7.35
36665,64946,7.02
64946,36664,6.74
36664,23750,6.25
23750,64947,6.62
64947,36663,7.57
36663,23752,9.25
23752,64948,8.61
64948,36662,8.61
36662,23759,8.92
23759,64949,9.92
64949,36661,11.12
36661,23763,11.29
23763,64950,26.03
64951,12876,66.88
12876,12877,20.45
12877,36650,18.86
36650,12878,19.61
12878,12879,28.56
12879,12880,25.24
1226,1235,78.87
1235,1234,45.63
1234,1233,33.79
1233,1232,38.56
1232,1231,29.13
1231,1230,75.14
38692,49054,35.97
49054,38692,35.97
49054,49064,56.51
49064,49054,56.51
49064,79957,34.91
79957,49064,34.91
79957,49058,46.23
49058,79957,46.23
49058,4555,5.17
4555,49058,5.17
4555,18484,19.29
18484,4555,19.29
18484,38715,13.12
38715,18484,13.12
38715,48985,78.39
48985,38715,78.39
48985,18485,30.13
18485,48985,30.13
18485,26241,51.1
26241,18485,51.1
26241,38748,33.6
38748,26241,33.6
38748,4556,47.98
4556,38748,47.98
4556,80015,26.14
80015,4556,26.14
80015,18486,19.53
18486,80015,19.53
18486,4559,35.55
4559,18486,35.55
4559,4561,29.04
4561,4559,29.04
4561,38757,10.21
38757,4561,10.21
38757,18479,26.48
18479,38757,26.48
18479,4558,49.95
4558,18479,49.95
4558,18480,26.6
18480,4558,26.6
18480,4557,31.74
4557,18480,31.74
4557,48971,22.09
48971,4557,22.09
48971,18481,10.97
18481,48971,10.97
18481,4560,102.74
4560,18481,102.74
4560,18482,31.47
18482,4560,31.47
18482,4562,19.32
4562,18482,19.32
4562,4563,18.32
4563,4562,18.32
4563,4564,27.28
4564,4563,27.28
4564,18483,26.06
18483,4564,26.06
18483,51001,43.93
51001,18483,43.93
51001,51003,14.58
51003,51001,14.58
51003,51002,20.25
51002,51003,20.25
51002,51004,15.17
51004,51002,15.17
51004,51883,34.29
51883,51004,34.29
51883,80149,41.31
80149,51883,41.31
80149,49016,21.25
49016,80149,21.25
49016,49013,98.74
49013,49016,98.74
49013,80178,153.57
80178,49013,153.57
80178,51013,31.41
51013,80178,31.41
51013,51015,43.99
51015,51013,43.99
51015,51016,26.46
51016,51015,26.46
51016,18491,52.58
18491,51016,52.58
18491,51017,16.4
51017,18491,16.4
51017,51018,24.24
51018,51017,24.24
51018,80253,84.05
80253,51018,84.05
80253,80284,61.92
80284,80253,61.92
80284,80296,65.19
80296,80284,65.19
80296,80316,12.29
80316,80296,12.29
80316,18487,84.68
18487,80316,84.68
18487,51020,35.65
51020,18487,35.65
51020,1242,15.81
1242,51020,15.81
1242,18488,19.66
18488,1242,19.66
18488,18489,57.15
18489,18488,57.15
18489,80433,38.82
80433,18489,38.82
80433,18490,65.11
18490,80433,65.11
18490,80465,74.39
80465,18490,74.39
80465,18472,33.84
18472,80465,33.84
18472,18473,75.41
18473,18472,75.41
18473,80499,94.96
80499,18473,94.96
80499,18474,64.67
18474,80499,64.67
18474,18475,125.35
18475,18474,125.35
18475,18476,131.27
18476,18475,131.27
18476,80531,52.19
80531,18476,52.19
80531,80533,12.68
80533,80531,12.68
80533,80545,224.14
80545,80533,224.14
80545,18477,74.78
18477,80545,74.78
18477,18478,76.08
18478,18477,76.08
18478,51022,37.69
51022,18478,37.69
51022,85028,33.25
85028,51022,33.25
85028,86762,22.51
86762,85028,22.51
18464,44762,17.73
44762,18464,17.73
44762,4586,10.39
4586,44762,10.39
4586,4587,30.6
4587,4586,30.6
4587,44755,36.49
44755,4587,36.49
44755,4590,57.07
4590,44755,57.07
4590,9389,21.96
9389,4590,21.96
9389,18468,18.98
18468,9389,18.98
18468,39523,22.76
39523,18468,22.76
39523,39524,3.41
39524,39523,3.41
39524,18469,58.82
18469,39524,58.82
18469,4591,45.4
4591,18469,45.4
4591,18470,32.12
18470,4591,32.12
18470,4592,21.79
4592,18470,21.79
4592,4593,22.71
4593,4592,22.71
4593,39580,63.22
39580,4593,63.22
39580,18471,66.94
18471,39580,66.94
18471,3293,42.68
3293,18471,42.68
3293,3294,44.52
3294,3293,44.52
3294,18431,47.56
18431,3294,47.56
18431,18432,94.53
18432,18431,94.53
18432,39723,71.95
39723,18432,71.95
39723,39731,60.56
39731,39723,60.56
39731,18450,67.8
18450,39731,67.8
18450,42704,9.73
42704,18450,9.73
42704,39788,55.47
39788,42704,55.47
39788,18451,107.53
18451,39788,107.53
18451,80756,31.87
80756,18451,31.87
80756,39826,12.55
39826,80756,12.55
39826,39842,17.57
39842,39826,17.57
39842,3300,38.54
3300,39842,38.54
3300,18452,25.21
18452,3300,25.21
18452,18453,81.9
18453,18452,81.9
18453,3305,49.84
3305,18453,49.84
3305,18454,52.84
18454,3305,52.84
