ノード番号,緯度,経度,3次メッシュID
67224,36.6825418,137.1585025,5537112
67225,36.6827094,137.1581353,5537112
67226,36.6827686,137.1582022,5537112
67227,36.6827964,137.1585002,5537112
67228,36.671003,137.1727903,553713
67229,36.6747419,137.1719006,553713
67230,36.6748773,137.1717162,553713
67231,36.6749488,137.1718721,553713
67232,36.6748037,137.1720369,553713
67233,36.6762526,137.1702659,5537113
67234,36.6753274,137.1699379,5537113
67235,36.6384934,137.1257384,54377160
67236,36.7352665,137.2265443,5537188
67237,36.6272687,137.3123153,54377254
67238,36.6272877,137.3013607,54377254
67239,36.6273632,137.3014306,54377254
67240,36.6273514,137.3130023,54377255
67241,36.6272896,137.31242,54377254
67242,36.6273798,137.3131034,54377255
67243,36.712845,137.1141276,5537059
67244,36.6274283,137.3015122,54377254
67245,36.6275084,137.3134839,54377255
67246,36.7128018,137.1032012,5537058
67247,36.6275352,137.3157963,54377255
67248,36.627549,137.301445,54377254
67249,36.6273994,137.2999703,54377253
67250,36.7127947,137.1241954,5537059
67251,36.5691833,137.2205412,54376187
67252,36.5701445,137.2209599,54376187
67253,36.6820778,137.2512869,5537210
67254,36.6718625,137.2587384,553720
67255,36.6724514,137.258783,553720
67256,36.6534975,137.2747169,54377281
67257,36.6527798,137.2754713,54377282
67258,36.6524437,137.2758718,54377282
67259,36.6513956,137.2767961,54377282
67260,36.6510483,137.2771991,54377282
67261,36.6511203,137.277408,54377282
67262,36.7129576,137.1066521,5537058
67263,36.6503722,137.2773384,54377282
67264,36.6490621,137.2786941,54377272
67265,36.6482558,137.2785238,54377272
67266,36.56788,137.2212124,54376187
67267,36.6488189,137.2786369,54377272
67268,36.5675217,137.221147,54376187
67269,36.7128821,137.1003807,5537058
67270,36.6072707,137.2245325,54377127
67271,36.5851958,137.2232523,5437717
67272,36.5840182,137.2231447,5437717
67273,36.586302,137.2158818,5437717
67274,36.586093,137.2161372,5437717
67275,36.6277522,137.3140299,54377255
67276,36.627923,137.30141,54377254
67277,36.5668389,137.2215384,54376187
67278,36.5668255,137.22181,54376187
67279,36.5668082,137.2220847,54376187
67280,36.5666976,137.2227139,54376187
67281,36.7127656,137.1018941,5537058
67282,36.7038626,137.223552,5537147
67283,36.6283245,137.3000245,54377254
67284,36.5657579,137.2225085,54376177
67285,36.628058,137.3198829,54377255
67286,36.6280707,137.3203104,54377255
67287,36.7129082,137.1099824,5537058
67288,36.6281752,137.3128555,54377255
67289,36.6282761,137.3025581,54377254
67290,36.7232162,137.1199257,5537069
67291,36.5676459,137.2204175,54376187
67292,36.7165178,137.1666565,5537153
67293,36.7165239,137.16671,5537153
67294,36.7169043,137.167127,5537163
67295,36.7172579,137.1675514,5537163
67296,36.718104,137.1684672,5537163
67297,36.7181381,137.1684974,5537163
67298,36.7182744,137.1686118,5537163
67299,36.7181245,137.168609,5537163
67300,36.7178535,137.168894,5537163
67301,36.7129624,137.104623,5537058
67302,36.7199962,137.1736417,5537163
67303,36.7200178,137.1735786,5537163
67304,36.7200462,137.1734574,5537163
67305,36.7200484,137.1733988,5537163
67306,36.7200302,137.1732836,5537163
67307,36.7200127,137.1732422,5537163
67308,36.7199947,137.1732059,5537163
67309,36.7199463,137.1731493,5537163
67310,36.7197129,137.1730868,5537163
67311,36.7199103,137.173125,5537163
67312,36.6283208,137.308422,54377254
67313,36.7200097,137.1739474,5537163
67314,36.7200181,137.1740084,5537163
67315,36.7210479,137.1669544,5537163
67316,36.721063,137.1669108,5537163
67317,36.7210086,137.1670462,5537163
67318,36.7210671,137.1668047,5537163
67319,36.7202454,137.1669491,5537163
67320,36.7202558,137.1670314,5537163
67321,36.7202804,137.1671635,5537163
67322,36.7202854,137.1671881,5537163
67323,36.7202837,137.1672772,5537163
67324,36.7202414,137.1668343,5537163
67325,36.7202206,137.1667186,5537163
67326,36.7194481,137.1670761,5537163
67327,36.7186022,137.1689464,5537163
67328,36.71838,137.1693085,5537163
67329,36.7182582,137.1695716,5537163
67330,36.7182352,137.1699102,5537163
67331,36.7182419,137.1700224,5537163
67332,36.7184189,137.1703248,5537163
67333,36.7184283,137.1705871,5537163
67334,36.718446,137.1705789,5537163
67335,36.7185729,137.1708019,5537163
67336,36.7179821,137.170215,5537163
67337,36.7179223,137.1700823,5537163
67338,36.7194443,137.1702813,5537163
67339,36.7197289,137.1706745,5537163
67340,36.719933,137.1705991,5537163
67341,36.7201179,137.1706059,5537163
67342,36.7203369,137.1705346,5537163
67343,36.739409,137.2228343,5537187
67344,36.6284095,137.2998627,54377253
67345,36.7205172,137.1704983,5537163
67346,36.6281364,137.314702,54377255
67347,36.7196507,137.1729119,5537163
67348,36.7128422,137.1016884,5537058
67349,36.628267,137.3136167,54377255
67350,36.7155323,137.1683339,5537153
67351,36.7154881,137.1684209,5537153
67352,36.715778,137.1680387,5537153
67353,36.7158256,137.1680168,5537153
67354,36.7161231,137.1679599,5537153
67355,36.7162125,137.1679584,5537153
67356,36.7162844,137.1679671,5537153
67357,36.7163209,137.1679767,5537153
67358,36.7163953,137.1680191,5537153
67359,36.7164663,137.1680729,5537153
67360,36.7168725,137.1682706,5537163
67361,36.71711,137.1681964,5537163
67362,36.7352318,137.2231717,5537187
67363,36.7171956,137.1679726,5537163
67364,36.7176231,137.1744515,5537163
67365,36.7176505,137.1745033,5537163
67366,36.7172455,137.1679454,5537163
67367,36.7170728,137.1742771,5537163
67368,36.7171408,137.1745742,5537163
67369,36.716941,137.1746066,5537163
67370,36.7171647,137.1727664,5537163
67371,36.7175279,137.1727291,5537163
67372,36.7175401,137.1728478,5537163
67373,36.7176935,137.171876,5537163
67374,36.717766,137.1719452,5537163
67375,36.7178185,137.1719914,5537163
67376,36.7175035,137.1716758,5537163
67377,36.7174464,137.1716338,5537163
67378,36.7172867,137.1714694,5537163
67379,36.7171853,137.1715147,5537163
67380,36.7170493,137.1716224,5537163
67381,36.7167512,137.1719471,5537163
67382,36.7166341,137.172061,5537153
67383,36.7242023,137.2137952,5537167
67384,36.723976,137.2135065,5537167
67385,36.7235724,137.2130319,5537167
67386,36.7217009,137.2109086,5537166
67387,36.7172507,137.1715192,5537163
67388,36.7247421,137.214504,5537167
67389,36.7242922,137.2139684,5537167
67390,36.7207317,137.2099176,5537166
67391,36.7213153,137.2105783,5537166
67392,36.7167339,137.1719088,5537163
67393,36.7233642,137.2128747,5537167
67394,36.7160592,137.1715393,5537153
67395,36.7158686,137.1716521,5537153
67396,36.7160193,137.1708942,5537153
67397,36.7217707,137.2119699,5537166
67398,36.7205859,137.209962,5537166
67399,36.7214597,137.2103626,5537166
67400,36.6284425,137.3030751,54377254
67401,36.7156417,137.1715413,5537153
67402,36.7169495,137.1697299,5537163
67403,36.720509,137.209346,5537166
67404,36.7201282,137.2091021,5537166
67405,36.7198923,137.2089634,5537166
67406,36.7161408,137.1695857,5537153
67407,36.7162339,137.1696685,5537153
67408,36.7164805,137.1698562,5537153
67409,36.7188503,137.2085722,5537166
67410,36.7184419,137.2085091,5537166
67411,36.7162788,137.2083491,5537156
67412,36.7158536,137.2082944,5537156
67413,36.7153812,137.2082944,5537156
67414,36.7132585,137.2085133,5537156
67415,36.7125194,137.2085385,5537156
67416,36.7122089,137.2085301,5537156
